,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
934,F30350,2019-11-29 00:00:00,2019-12-22,3583.7500000000005
941,F30357,2019-11-29 00:00:00,2019-11-25,5631.18
944,F30360,2019-11-25 00:00:00,2019-11-25,420.00000000000006
980,F30396,2019-11-26 00:00:00,2019-12-27,1696.25
981,F30397,2019-11-26 00:00:00,2019-12-05,6772.500000000001
997,F30413,2019-11-19 00:00:00,2019-12-12,4978.5
1019,F30435,2019-11-28 00:00:00,2019-12-14,2125.0000000000005
1054,F30470,2019-11-25 00:00:00,2019-12-18,4070.2200000000003
1084,F30500,2019-12-05 00:00:00,2019-12-05,582.5
1085,F30501,2019-11-28 00:00:00,2020-01-04,4518.000000000001
1093,F30509,2019-12-05 00:00:00,2020-01-04,1981.25
1120,F30536,2019-12-06 00:00:00,2020-01-09,31975.0
1121,F30537,2019-12-06 00:00:00,2020-01-09,5588.000000000001
1133,F30549,2019-12-10 00:00:00,2020-01-10,2040.0
1137,F30553,2019-12-09 00:00:00,2019-12-26,5749.590000000001
1164,F30580,2019-12-16 00:00:00,2019-12-16,980.0000000000001
1200,F30616,2019-12-12 00:00:00,2020-01-17,62060.0
1201,F30617,2019-12-11 00:00:00,2020-01-17,22800.000000000004
1212,F30628,2019-12-18 00:00:00,2020-01-17,347.2875
1219,F30635,2019-12-19 00:00:00,2020-01-03,1449.42
1284,F30700,2020-01-13 00:00:00,2020-02-05,5973.000000000001
1299,F30715,2020-01-07 00:00:00,2020-01-22,9135.0
1311,F30727,2020-01-13 00:00:00,2020-02-07,4191.0
1357,F30773,2019-12-12 00:00:00,2020-02-12,7132.200000000001
1359,F30775,2020-01-13 00:00:00,2020-01-13,347.2875
1374,F30790,2020-01-14 00:00:00,2020-02-13,6080.000000000001
1389,F30805,2020-01-15 00:00:00,2020-01-15,1956.66
1392,F30808,2020-01-14 00:00:00,2020-02-14,20200.0
1514,F30930,2020-01-28 00:00:00,2020-02-05,118.5
1531,F30947,2020-01-17 00:00:00,2020-01-29,4175.51
1545,F30961,2020-01-31 00:00:00,2020-01-31,1956.6637
1551,F30967,2020-01-28 00:00:00,2020-01-31,1039.5
1570,F30986,2020-01-31 00:00:00,2020-01-31,7750.000000000001
1610,F31026,2020-02-06 00:00:00,2020-02-21,101.73
1623,F31039,2020-02-06 00:00:00,2020-02-21,2010.0000000000002
1634,F31050,2020-02-07 00:00:00,2020-02-07,1956.66
1647,F31063,2020-01-29 00:00:00,2020-02-07,2412.07
1650,F31066,2020-02-10 00:00:00,2020-03-08,2986.5000000000005
1653,F31069,2020-02-10 00:00:00,2020-02-25,910.6
1654,F31070,2020-02-10 00:00:00,2020-02-25,1750.0
1667,F31083,2020-02-11 00:00:00,2020-02-26,1436.0000000000002
1679,F31095,2020-02-05 00:00:00,2020-02-11,15500.000000000002
1692,F31108,2020-02-11 00:00:00,2020-02-11,7125.894600000001
1724,F31140,2020-02-07 00:00:00,2020-02-29,1029.0
1739,F31155,2020-02-17 00:00:00,2020-03-18,5631.18
1769,F31185,2020-02-18 00:00:00,2020-02-27,1052.0
1773,F31189,2020-01-28 00:00:00,2020-02-27,6633.6165
1807,F31223,2020-02-21 00:00:00,2020-03-07,6930.000000000001
1808,F31224,2020-02-21 00:00:00,2020-03-07,1191.96
1825,F31241,2020-02-13 00:00:00,2020-03-10,12879.000000000002
1847,F31263,2020-02-25 00:00:00,2020-03-04,112.1
1878,F31294,2020-02-21 00:00:00,2020-03-13,1717.2
1882,F31298,2020-02-18 00:00:00,2020-03-06,944.6
1883,F31299,2020-02-27 00:00:00,2020-03-06,224.20000000000002
1895,F31311,2020-02-20 00:00:00,2020-03-14,728.5000000000001
1957,F31373,2020-03-03 00:00:00,2020-03-18,1480.0000000000002
1975,F31391,2020-02-18 00:00:00,2020-03-18,507.5
1976,F31392,2020-03-04 00:00:00,2020-03-04,1520.0000000000002
1986,F31402,2020-03-04 00:00:00,2020-04-03,1114.8135000000002
2010,F31426,2020-03-02 00:00:00,2020-03-21,3585.1200000000003
2017,F31433,2020-02-27 00:00:00,2020-04-05,21437.5
2018,F31434,2020-03-06 00:00:00,2020-04-05,12862.35
2064,F31480,2020-03-05 00:00:00,2020-03-27,3132.0
2079,F31495,2020-03-13 00:00:00,2020-03-28,900.0000000000001
2115,F31531,2020-03-17 00:00:00,2020-04-17,8575.0
2207,F31623,2020-03-25 00:00:00,2020-04-09,1750.0
2210,F31626,2020-03-17 00:00:00,2020-04-25,17372.82
2230,F31646,2020-03-30 00:00:00,2020-04-14,2386.5600000000004
2281,F31697,2020-04-02 00:00:00,2020-04-17,5600.0
2311,F31727,2020-04-20 00:00:00,2020-05-05,12879.000000000002
2312,F31728,2020-04-20 00:00:00,2020-05-05,1717.2
2313,F31729,2020-04-20 00:00:00,2020-05-05,3132.0000000000005
2314,F31730,2020-04-03 00:00:00,2020-05-21,3314.2
2328,F31744,2020-04-14 00:00:00,2020-05-24,8700.0
2333,F31749,2020-04-17 00:00:00,2020-05-27,5631.18
2349,F31765,2020-04-28 00:00:00,2020-04-28,4978.5
2375,F31791,2020-04-23 00:00:00,2020-04-30,1174.0
2409,F31825,2020-05-14 00:00:00,2020-05-29,2271.7200000000003
2422,F31838,2020-05-20 00:00:00,2020-06-04,375.0
